Country,ISO3,Region,CPI score 2020,Rank 2020,CPI score 2019,Rank 2019,CPI score 2016,Rank 2016,Employment_ratio-2016,Employment_ratio-2019,GDP_per_capita-2016,GDP_per_capita-2019,HDI_index-2016,HDI_index-2019,Women_in_parliament_(%)-2016,Women_in_parliament_(%)-2019
Argentina,ARG,AME,42,78,45,66,36.0,95.0,55.5,55.301,23189.731,22033.945,0.839,0.845,37.082,39.877
Lesotho,LSO,SSA,41,83,40,85,39.0,83.0,51.282,51.996,2842.699,2767.714,0.512,0.527,24.837,23.026
Benin,BEN,SSA,41,83,41,80,36.0,95.0,69.006,69.285,2961.442,3287.31,0.533,0.545,7.229,7.229
Guyana,GUY,AME,41,83,40,85,34.0,108.0,49.419,49.524,8848.151,9702.579,0.676,0.682,30.435,31.884
Burkina Faso,BFA,SSA,40,86,40,85,42.0,72.0,62.425,62.268,1991.138,2189.631,0.428,0.452,9.449,13.386
Turkey,TUR,ECA,40,86,39,91,41.0,75.0,46.118,45.702,26409.177,28167.397,0.808,0.82,14.909,17.45
India,IND,AP,40,86,41,80,40.0,79.0,47.566,46.653,5840.67,6754.287,0.63,0.645,11.69,13.486
Morocco,MAR,MENA,40,86,41,80,37.0,90.0,42.041,41.22,7109.243,7514.721,0.667,0.686,18.447,18.447
Timor-Leste,TLS,AP,40,86,38,93,35.0,101.0,63.585,64.275,3355.508,3123.109,0.598,0.606,38.462,38.462
Trinidad and Tobago,TTO,AME,40,86,40,85,35.0,101.0,59.312,58.347,27201.469,26175.952,0.792,0.796,31.507,32.877
Colombia,COL,AME,39,92,37,96,37.0,90.0,63.46,62.095,14338.433,14730.885,0.76,0.767,20.896,19.565
Ecuador,ECU,AME,39,92,38,93,31.0,120.0,65.264,65.338,11551.617,11375.331,0.758,0.759,41.606,37.956
Suriname,SUR,AME,38,94,44,70,45.0,64.0,47.69,47.385,16217.873,16328.686,0.735,0.738,25.49,31.373
Serbia,SRB,ECA,38,94,39,91,42.0,72.0,45.605,47.915,16116.306,18179.775,0.795,0.806,34.0,37.652
